Rank,Previous Rank,Track Name,Artist Name,Weeks on Chart,Views,Weekly Growth,YouTube URL
60,76,Billie Jean,Michael Jackson,4,2008438,19.3%,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
61,78,Hallelujah,Pentatonix,24,2004093,22.7%,https://www.youtube.com/watch?v=LRP8d7hhpoQ
62,75,No Role Modelz,J. Cole,10,1967847,15.9%,https://www.youtube.com/watch?v=2RrhwDKw-j4
63,58,Love Cycle,Toosii,13,1962095,1.6%,https://www.youtube.com/watch?v=a3UMiwfwlNQ
64,38,LA NOCHE DE ANOCHE (Bad Bunny & Rosalía),Bad Bunny,2,1959500,-19%,https://www.youtube.com/watch?v=VlFxGiRGO_8
65,56,More Than My Hometown,Morgan Wallen,12,1945397,0%,https://www.youtube.com/watch?v=MS82JAkBkDY
66,70,Whats On Your Mind (feat. Jacquees),K Camp,9,1928358,7.5%,https://www.youtube.com/watch?v=xGfe2yhu0e0
67,59,"Caramelo (Remix) (Ozuna, Karol G & Myke Towers)",Ozuna,20,1872964,-0.4%,https://www.youtube.com/watch?v=KilybZma5vY
68,66,Martin & Gina,Polo G,18,1870499,2.2%,https://www.youtube.com/watch?v=YNyFAro1E5M
69,50,pov,Ariana Grande,5,1869642,-9.7%,https://www.youtube.com/watch?v=nQJEp-k-ogs
70,67,La Tóxica,Farruko,8,1863023,1.9%,https://www.youtube.com/watch?v=puugRJxgdt4
71,63,Dreams,Fleetwood Mac,11,1859150,0.5%,https://www.youtube.com/watch?v=Y3ywicffOj4
72,84,Rockin' Around The Christmas Tree,Brenda Lee,10,1844752,16.3%,https://www.youtube.com/watch?v=qAbRtgo7sVo
73,64,Letter From Houston,Rod Wave,18,1831153,-0.2%,https://www.youtube.com/watch?v=CiCT7NCP6BY
74,68,POPSTAR (feat. Drake),DJ Khaled,18,1827160,0.6%,https://www.youtube.com/watch?v=3CxtK7-XtE0
75,54,"Crazy Story, Pt. 3",King Von,7,1815722,-8.5%,https://www.youtube.com/watch?v=YpxzPXaYyM4
76,,Reminds Me Of You (Juice WRLD & The Kid Laroi),Juice WRLD,1,1801168,,https://www.youtube.com/watch?v=SMEZtIATpkQ
77,29,Life Goes On,BTS,3,1795746,-43.9%,https://www.youtube.com/watch?v=-5q5mZbe3V8
78,69,That’s It (Lil Uzi Vert & Future),Lil Uzi Vert,4,1774970,-1.5%,https://www.youtube.com/watch?v=PmQsZNery80
79,,WITHOUT YOU,The Kid Laroi,1,1773834,,https://www.youtube.com/watch?v=fyosJBL78AU
80,,I Hope,Gabby Barrett,22,1773132,,https://www.youtube.com/watch?v=qcCH6JpcK5w
81,,Jingle Bell Rock,Bobby Helms,5,1762802,,https://www.youtube.com/watch?v=Z0ajuTaHBtM
82,73,Kacey talk,YoungBoy Never Broke Again,17,1758445,2.6%,https://www.youtube.com/watch?v=0C80BSgjb8M
83,,Como La Flor (Selena & Los Dinos),Selena,1,1755556,,https://www.youtube.com/watch?v=JsUt2jsLM1k
84,57,Lonely (Justin Bieber & Benny Blanco),Justin Bieber,8,1732309,-10.8%,https://www.youtube.com/watch?v=xQOO2xGQ1Pc
85,41,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,3,1718077,-27.4%,https://www.youtube.com/watch?v=MPbUaIZAaeA
86,85,Bang!,AJR,10,1714293,8.7%,https://www.youtube.com/watch?v=4THFRpw68oQ
87,71,Holy (feat. Chance The Rapper),Justin Bieber,12,1713751,-0.8%,https://www.youtube.com/watch?v=pvPsJFRGleA
88,74,Daisy,Ashnikko,13,1709785,0%,https://www.youtube.com/watch?v=6i01tOMgBDU
89,80,PRACTICE,DaBaby,10,1679741,4%,https://www.youtube.com/watch?v=1YzXZN37stw
90,100,Rudolph the Red-Nosed Reindeer (feat. The Pinafores),Gene Autry,20,1678005,17.4%,https://www.youtube.com/watch?v=-1xAi_Q6a8g
91,91,Save Me,JellyRoll,14,1674798,10%,https://www.youtube.com/watch?v=FxFNprPOdss
92,83,Canceled,Larray,8,1658412,4.5%,https://www.youtube.com/watch?v=M06ju3qJqA4
93,79,Cover Me Up,Morgan Wallen,17,1616913,-0.3%,https://www.youtube.com/watch?v=KEnFCa-5p9E
94,,Hittin' (Remix) (feat. Moneybagg Yo & Foogiano),Money Mu,1,1599339,,https://www.youtube.com/watch?v=j7tHktqr_sA
95,,everything i wanted,Billie Eilish,21,1588530,,https://www.youtube.com/watch?v=EgBJmlPo8Xw
96,81,Be Like That (feat. Swae Lee & Khalid),Kane Brown,17,1584221,-1.6%,https://www.youtube.com/watch?v=GEAy7eXb2lo
97,98,Blood // Water,grandson,5,1583323,8.8%,https://www.youtube.com/watch?v=tjIwXKPGf80
98,,Underneath the Tree,Kelly Clarkson,1,1580469,,https://www.youtube.com/watch?v=EM2Fnp_qnE8
99,53,Walk (feat. Lil Baby & 42 Dugg),Rylo Rodriguez,2,1573938,-22.3%,https://www.youtube.com/watch?v=Q9VesBHp5PU
100,,Never Gonna Give You Up,Rick Astley,17,1553254,,https://www.youtube.com/watch?v=dQw4w9WgXcQ
